hotel_name,description,city,hotel_score,url_hotel,lat,lon
Hotel Dandy Rouen centre,"Cet hôtel est situé dans le centre de Rouen, à 100 mètres de la place du Vieux-Marché et de l’église Sainte-Jeanne-d’Arc. Décorées dans un style Louis XV, les chambres sont équipées d’une connexion Wi-Fi gratuite.Chaque chambre du Dandy comprend une télévision par câble à écran plat et une salle de bains privative.Tous les matins, vous pourrez savourer un petit-déjeuner servi en chambre ou sous forme de buffet.L’hôtel Dandy se trouve à 10 minutes à pied de la cathédrale Notre-Dame et du musée des Beaux-Arts. La gare de Rouen est accessible en 15 minutes de marche. ",Rouen,"8,0",https://www.booking.com/hotel/fr/dandy.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9yb3VlbkgNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBBogCAagCA7gC7PrjngbAAgHSAiQ3N2E3OTg1OC03NDZiLTQ5ZjYtOGM2Yy05YWVjMDdmYTY0NTbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=ae6a51b682fb0043&srepoch=1675165037&from=searchresults#hotelTmpl,49.44527729,1.0867627
Chambres d'Hôtes du Manoir du Haut Salmon,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Chambres d'Hôtes du Manoir du Haut Salmon ! Située à seulement 10 minutes en voiture des plages de Saint-Malo et de la Manche, cette maison d'hôtes occupe un manoir rénové du XVIe siècle niché dans un parc de 8 hectares avec un étang. Elle propose des équipements de pêche, une connexion Wi-Fi gratuite, un jardin et une terrasse.Les chambres de l'établissement Chambres d’Hôtes du Manoir du Haut Salmon sont équipées d'une télévision à écran plat et d'un minibar. Affichant des murs en pierre, elles comprennent une salle de bains avec une douche et un sèche-cheveux.Un petit-déjeuner continental est servi tous les matins et vous aurez accès à un barbecue dans le jardin. Sur demande, l'hôte pourra organiser des sorties de pêche sur l'étang appartenant à l'établissement.Un parking privé gratuit est disponible sur place et la gare de Saint-Malo se trouve à 5,5 km. La maison d'hôtes vous accueille également à 11 km de Dinard et à 14 km de l'aéroport de Dinard-Pleurtuit-Saint-Malo. Des excursions de pêche en mer avec le propriétaire et un service de garde d'enfants peuvent être organisés moyennant des frais supplémentaires. ",St Malo,"7,6",https://www.booking.com/hotel/fr/manoir-du-haut-salmon.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdCBtYWxvSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEGiAIBqAIDuALs-uOeBsACAdICJGRiOGNkN2ViLTRiNWYtNDU4MC1hNDc1LTk2ODEyODQzNDA2MdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=9fc251b680f00140&srepoch=1675165037&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,48.63320639,-1.95942342
Place aux Oignons Vieux Lille 4 personnes,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Place aux Oignons Vieux Lille 4 personnes ! Situé dans le quartier du Vieux Lille, à proximité de l'opéra de Lille, le Place aux Oignons Vieux Lille 4 personnes dispose d'un jardin et d'un lave-linge. Vous bénéficierez gratuitement d'une connexion Wi-Fi dans l'ensemble des locaux et d'un parking privé sur place.Offrant une vue sur le jardin, cet appartement comprend une terrasse, une chambre, un salon, une télévision à écran plat, une salle de bains pourvue d'une douche ainsi qu'une cuisine équipée avec un réfrigérateur et un micro-ondes. Les serviettes et le linge de lit sont fournis.Parlant français et anglais, le personnel de la réception se fera un plaisir de vous aider à tout moment.Un service de location de vélos est assuré sur place.Vous séjournerez à proximité de la Grand-Place, de la gare de Lille-Flandres et de la Tour de Lille. L'aéroport de Lille, le plus proche, est à 10 km. ",Lille,"8,6",https://www.booking.com/hotel/fr/place-aux-oignons-vieux-lille-4-personnes.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9saWxsZUgNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBBogCAagCA7gC7PrjngbAAgHSAiRhMWQ2ZDRiYi1jNmMyLTQ2Y2ItYmZhOS1iM2NmNDY0ZDc3NTPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=50ab51b6c8950190&srepoch=1675165037&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,50.6408607,3.0614971
La Conchee,"La maison de vacances La Conchée est située à Saint-Malo, dans le quartier de Rothéneuf, à 15 minutes de route de la vieille ville. Offrant des vues sur la mer, elle possède un espace de stationnement privé gratuit sur place.La maison La Conchee comprend un coin salon, une télévision à écran plat, ainsi qu'une cuisine équipée d'un lave-vaisselle. Vous bénéficierez gratuitement d'une connexion Wi-Fi dans l'ensemble de l'hébergement.Le casino de Saint-Malo est à 3,8 km et l'aéroport de Saint-Malo-Dinard-Pleurtuit, à 12 km. Vous pourrez vous balader le long de la plage, accessible à 200 mètres, pour rejoindre la vieille ville de Saint-Malo. ",St Malo,"9,5",https://www.booking.com/hotel/fr/la-conchee.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdCBtYWxvSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEGiAIBqAIDuALs-uOeBsACAdICJGRiOGNkN2ViLTRiNWYtNDU4MC1hNDc1LTk2ODEyODQzNDA2MdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=9fc251b680f00140&srepoch=1675165037&from_beach_sr=1&from=searchresults#hotelTmpl,48.67741279,-1.98646032
LES PERLES AMIÉNOISES ☆ WHITE PEARL ☆ HYPER CENTRE ☆,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement LES PERLES AMIÉNOISES ☆ WHITE PEARL ☆ HYPER CENTRE ☆ ! Situé à Amiens, à 400 mètres de la gare et à 3,8 km du Zénith, l'établissement LES PERLES AMIÉNOISES ☆ WHITE PEARL ☆ HYPER CENTRE ☆ propose des hébergements avec une connexion Wi-Fi gratuite et une télévision à écran plat. Cet appartement se trouve à 5,1 km de l'université de Picardie Jules Verne et à 8 km du club de golf d'Amiens.Cet appartement comprend une chambre ainsi qu'une cuisine avec un réfrigérateur, un micro-ondes et une machine à café. Les serviettes et le linge de lit sont fournis.Vous séjournerez à proximité du parc des jardins flottants, du musée Berny et du tribunal de grande instance d'Amiens. L'aéroport de Beauvais-Tillé, le plus proche, est implanté à 66 km. ",Amiens,"9,6",https://www.booking.com/hotel/fr/les-perles-amienoises-white-pearl-hyper-centre.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hbWllbnNIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQaIAgGoAgO4Auz6454GwAIB0gIkMTBkNjdlOTQtYjVjNy00ZWVmLWFlNTEtZmNlMzk4MDY5NzY52AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=c29051b644560494&srepoch=1675165037&from=searchresults#hotelTmpl,49.8925625,2.3052844
Château Saint Gilles,"Situé à Bayeux, à 4,6 km du musée Baron Gérard, le Château Saint Gilles propose une piscine extérieure ouverte en saison, un parking privé gratuit, un jardin et un salon commun. Il propose un service d'étage, un restaurant et une terrasse. L'hôtel propose également une connexion Wi-Fi gratuite et un service de navette aéroport payant.Les chambres comprennent un bureau et une armoire. Toutes les chambres sont équipées de la climatisation, d'un coffre-fort et d'une télévision.Un petit-déjeuner buffet, continental ou anglais/irlandais complet est servi sur place.Vous pourrez jouer au ping-pong sur place. Un service de location de vélos et de voitures est assuré.Vous séjournerez à 4,7 km de la cathédrale Notre-Dame de Bayeux et à 4,8 km du musée de la Tapisserie de Bayeux. L'aéroport de Caen-Carpiquet, le plus proche, est implanté à 29 km. ",Bayeux,"9,5",https://www.booking.com/hotel/fr/chateau-saint-gilles.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iYXlldXhIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQaIAgGoAgO4Auz6454GwAIB0gIkMWQwYzk5YzYtOTg3ZC00MjA1LTk1N2QtZWUzZDE2MDMzYTc02AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=23a851b64da00037&srepoch=1675165037&from=searchresults#hotelTmpl,49.249366,-0.712469
Hôtel le Grillon,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel le Grillon ! Cet hôtel est situé dans le centre de Strasbourg, à 5 minutes à pied de la gare TGV et de la Petite France. Il comprend une terrasse en bois et des chambres insonorisées dotées d'une connexion Wi-Fi gratuite.Les chambres de l'hôtel Grillon sont décorées individuellement. Chacune possède une télévision par satellite et une salle de bains privative avec douche.Un petit-déjeuner buffet est proposé chaque matin dans la salle à manger de l'hôtel. La terrasse comprend également des tables et des chaises. Dans la soirée, vous pourrez prendre un verre au bar de l'hôtel.La réception de l'établissement est ouverte 24h/24. Un service de location de vélos est disponible sur demande. La place Kléber ainsi que le Musée d'art moderne et contemporain sont situés à 700 mètres. ",Strasbourg,"7,8",https://www.booking.com/hotel/fr/grillonstrasbourg.fr.html?aid=304142&label=gen173nr-1FCAQoggJCEXNlYXJjaF9zdHJhc2JvdXJnSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEGiAIBqAIDuALu-uOeBsACAdICJDM5MzMzNTFmLWI5MGQtNGUzMC05NWNkLWZjNTBjYzZlOWI5ZtgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=fa8b51b7ca80022d&srepoch=1675165039&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,48.58389843,7.73765266
ibis Styles Strasbourg Avenue du Rhin,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement ibis Styles Strasbourg Avenue du Rhin ! L'ibis Styles Strasbourg Avenue du Rhin vous accueille à Strasbourg, à 10 minutes de route de la cathédrale, du quartier de La Petite France et du Parlement européen. La clinique Rhena se trouve à 1,2 km.Les chambres climatisées comprennent une connexion Wi-Fi gratuite et une télévision à écran plat. Décorées dans un style moderne, elles sont également pourvues d'une salle de bains avec douche à l'italienne et sèche-cheveux.L'ibis Styles Strasbourg Avenue du Rhin possède un bar décoré dans un style contemporain. Un petit-déjeuner buffet est servi chaque matin.L'hôtel se trouve à 4,6 km de la gare de Strasbourg, à 13 km de l'aéroport de Strasbourg Entzheim et à 3 km de l'autoroute A4. Un parking souterrain privé est disponible sur place. L'ibis Styles Strasbourg Avenue du Rhin se situe à côté de l'arrêt de tramway Aristide Briand. Enfin, vous séjournerez à 40 minutes en voiture du parc à thème Europa-Park et à 1 km de la frontière allemande. ",Strasbourg,"8,1",https://www.booking.com/hotel/fr/ibis-strasbourg-avenue-du-rhin.fr.html?aid=304142&label=gen173nr-1FCAQoggJCEXNlYXJjaF9zdHJhc2JvdXJnSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEGiAIBqAIDuALu-uOeBsACAdICJDM5MzMzNTFmLWI5MGQtNGUzMC05NWNkLWZjNTBjYzZlOWI5ZtgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=fa8b51b7ca80022d&srepoch=1675165039&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,48.569366,7.777569
Elsass Design Hygge,"Situé à Eguisheim, en Alsace, l'Elsass Design Hygge est un établissement 3 étoiles doté d'une connexion Wi-Fi gratuite. La région est prisée pour pratiquer le ski et le vélo.Cette maison de vacances comprend 3 chambres, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi qu'une salle de bains pourvue d'une douche et d'articles de toilette gratuits. Les serviettes et le linge de lit sont fournis.Vous séjournerez à 6 km de la gare de Colmar et de la Maison des Têtes. L'aéroport le plus proche, celui de Bâle-Mulhouse-Fribourg, est situé à 54 km. ",Eguisheim,"9,3",https://www.booking.com/hotel/fr/elsass-design-hygge.fr.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9lZ3Vpc2hlaW1IDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQaIAgGoAgO4Au76454GwAIB0gIkNzUxNjhiNDktYjgwZC00YTY5LWJlMTgtNzQ3YmQxZmU5MmM32AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=8f4d51b7e2110071&srepoch=1675165039&from=searchresults#hotelTmpl,48.04203,7.304598
Centre ville historique - calme - les mots bleus,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Centre ville historique - calme - les mots bleus ! Situé à Besançon, à 1,2 km de la gare, le Centre ville historique - calme - les mots bleus propose un service de prêt de vélos, une connexion Wi-Fi gratuite et une réception ouverte 24h/24. Occupant un bâtiment datant du XIXe siècle, cet appartement se trouve à 4,9 km de Micropolis et à 13 km de la gare TGV de Besançon Franche-Comté.Cet appartement comprend une chambre, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi qu'une salle de bains pourvue d'une douche et d'articles de toilette gratuits. Les serviettes et le linge de lit sont fournis.Vous séjournerez à proximité de la gare de Besançon-Viotte, du musée du Temps et de la cathédrale Saint-Jean de Besançon. L'aéroport le plus proche, celui de Dole-Jura, est situé à 60 km. ",Besancon,"9,3",https://www.booking.com/hotel/fr/centre-ville-historique-calme-les-mots-bleus.fr.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9iZXNhbmNvbkgNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBBogCAagCA7gC7vrjngbAAgHSAiRjMmMwNjljMi1hNDZhLTRjMTUtYjZmOS1kMjQzZmU2NzFjMzPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=0b5c51b7bb2b0102&srepoch=1675165039&from=searchresults#hotelTmpl,47.233391,6.0283136
